HUC12,Code,Latitude,Longitude
41000080401,Binkley Ditch-Little Riley Creek,40.827,-83.856
41000080304,Howard Run-Blanchard River,41.059,-83.712
41000080303,Aurand Run,41,-83.699
41000080302,Lower Eagle Creek,40.937,-83.653
41000080205,City of Findlay-Blanchard River,41.047,-83.584
41000080204,Lye Creek,40.957,-83.598
41000080203,Findlay Upground Reservoir Number One-Blanchard River,40.948,-83.526
41000040304,Duck Creek,40.684,-84.79
41000030802,Metcalf Ditch-Saint Joseph River,41.3,-84.903
41000030506,Hoodelmier Ditch-Saint Joseph River,41.368,-84.905
41000030505,Willow Run-Saint Joseph River,41.386,-84.787
41000040302,Black Creek,40.643,-84.746
41000040601,Houk Ditch,40.976,-85.032
41000040504,Bulhman Ditch-Saint Marys River,40.9,-84.999
41000040406,Martz Creek,40.749,-84.914
41000040405,Blue Creek,40.715,-84.854
41000030504,Buck Creek,41.4,-84.886
41000120601,Upper East Branch Huron River,41.113,-82.588
41000120605,City of Norwalk,41.254,-82.567
41000120604,Lower East Branch Huron River,41.207,-82.653
41000120603,Norwalk Creek,41.216,-82.561
41000120602,Cole Creek,41.172,-82.578
41000120506,Town of Monroeville-West Branch Huron River,41.254,-82.7
41000050204,Gordon Creek,41.294,-84.722
41000050203,Marie DeLarme Creek,41.242,-84.8
41000071002,Upper Blue Creek,40.953,-84.761
41000050202,North Chaney Ditch-Maumee River,41.183,-84.769
41000050201,Zuber Cutoff,41.137,-84.753
41000040408,City of Decatur-Saint Marys River,40.818,-84.873
41000040407,Borum Run,40.779,-84.959
41000030502,Big Run,41.45,-84.871
41000030406,Cornell Ditch-Fish Creek,41.496,-84.825
41000030405,Town of Alvarado-Fish Creek,41.582,-84.829
41000030305,Bear Creek,41.559,-84.762
41000030301,Nettle Creek,41.681,-84.718
41000040502,Weber Ditch-Saint Marys River,40.89,-84.915
41000071203,Bohnke Ditch-Hoffman Creek,40.983,-84.898
41000040401,Twentyseven Mile Creek,40.798,-84.758
41000040305,Town of Willshire-Saint Marys River,40.746,-84.777
41000040605,Sly Run Creek,41.123,-85.18
41000040402,Gales Ditch,40.658,-84.921
41000030706,Willow Creek,41.253,-85.217
41000030701,Headwaters John Diehl Ditch,41.411,-85.168
41000030803,Swartz Cannahan Ditch-Saint Joseph River,41.26,-84.989
41000030707,Dosch Ditch-Cedar Creek,41.286,-85.092
41000030804,Cedarville Reservoir-Saint Joseph River,41.228,-85.015
41000030702,Peckhart Ditch-John Diehl Ditch,41.403,-85.098
41000030604,Smith Ditch-Cedar Creek,41.389,-85.017
41000030603,Matson Ditch,41.465,-84.966
41000071205,Wildcat Creek-Flatrock Creek,41.049,-84.77
41000071204,Brown Ditch-Flatrock Creek,40.957,-84.849
41000071202,Headwaters Hoffman Creek,40.988,-84.951
41000071201,Headwaters Flatrock Creek,40.881,-84.814
41000020306,Big Meadow Drain-Black Creek,41.809,-83.96
41000020308,Camp Drain-River Raisin,41.865,-83.816
41000020104,Norvell Manchester Drain-River Raisin,42.155,-84.126
41000020103,Sweezey Lake-River Raisin,42.184,-84.157
41000020102,Norvell Lake-River Raisin,42.092,-84.248
41000010203,Gray Drain-Otter Creek,41.867,-83.625
41000030103,Laird Creek,41.789,-84.544
41000030102,Anderson Drain-East Branch Saint Joseph River,41.822,-84.459
41000030101,Pittsford Millpond-East Branch Saint Joseph River,41.881,-84.536
41000020410,Willow Run-River Raisin,41.953,-83.509
41000020408,Macon Creek,41.991,-83.726
41000020407,North Branch Macon Creek,42.09,-83.771
41000020309,Little River Raisin,41.917,-83.863
41000020305,Gleason Brook-Black Creek,41.802,-84.018
41000020302,Baker and May Drain-Black Creek,41.812,-84.175
41000020206,South Branch River Raisin,41.954,-84.012
41000030503,Russell Run-Saint Joseph River,41.435,-84.738
41000030501,Bluff Run-Saint Joseph River,41.493,-84.725
41000030306,West Buffalo Cemetary-Saint Joseph River,41.527,-84.674
41000030304,Village of Montpelier-Saint Joseph River,41.581,-84.611
41000030302,Cogsworth Cemetary-Saint Joseph River,41.63,-84.567
41000040104,Kopp Creek,40.467,-84.391
41000010303,Prairie Ditch,41.668,-83.838
41000030303,Eagle Creek,41.615,-84.718
41000010307,Heldman Ditch-Ottawa River,41.665,-83.689
41000020405,South Branch Macon Creek,41.982,-83.833
41000020404,Headwaters Macon Creek,42.053,-83.846
41000020403,Koch Warner Drain-Saline River,42.17,-83.751
41000020401,Headwaters Saline River,42.146,-83.906
41000020402,Wood Outlet Drain-Salina River,42.205,-83.809
41000020310,Dunlap Drain-River Raisin,41.892,-83.727
41000020307,Floodwood Creek-River Raisin,41.829,-83.891
41000050208,Snooks Run-Maumee River,41.282,-84.483
41000040301,Little Black Creek,40.651,-84.691
41000040205,Prairie Creek-Saint Marys River,40.655,-84.386
41000040204,Twelvemile Creek,40.609,-84.587
41000040203,Blierdofer Ditch,40.581,-84.561
41000050207,Sulphur Creek-Maumee River,41.274,-84.566
41000050206,Platter Creek,41.298,-84.65
41000050205,Sixmile Cutoff-Maumee River,41.223,-84.641
41000040303,Yankee Run-Saint Marys River,40.687,-84.616
41000040201,Hussey Creek,40.616,-84.435
41000040106,Fourmile Creek-Saint Marys River,40.577,-84.392
41000040105,Sixmile Creek,40.587,-84.327
41000040202,Eightmile Creek,40.601,-84.493
41000040103,East Branch,40.527,-84.268
41000040102,Center Branch,40.474,-84.323
